# English source | de-DE | fr-FR | es-ES | pt-BR | it-IT | nl-NL | pl-PL | tr-TR | ru-RU (no spaces around separators)
Start|Start|Début|Inicio|Início|Inizio|Start|Start|Başlangıç|Начало
Validation & release|Prüfung & Veröffentlichung|Validation et publication|Validación y publicación|Validação e lançamento|Verifica e pubblicazione|Validatie en uitgave|Walidacja i wydanie|Doğrulama ve yayın|Проверка и выпуск
 Test delivery after deployment via the binding; the verified-recipient allowlist was checked.| Testversand nach Bereitstellung über das Binding; die Liste bestätigter Empfänger wurde geprüft.| Testez l’envoi après déploiement via le binding ; la liste des destinataires vérifiés a été contrôlée.| Pruebe el envío tras desplegar mediante el binding; se comprobó la lista de destinatarios verificados.| Teste o envio após implantação pelo binding; a lista de destinatários verificados foi conferida.| Prova l’invio dopo la distribuzione tramite binding; l’elenco dei destinatari verificati è stato controllato.| Test verzending na implementatie via de binding; de lijst met geverifieerde ontvangers is gecontroleerd.| Testuj wysyłkę po wdrożeniu przez binding; lista zweryfikowanych odbiorców została sprawdzona.| Dağıtım sonrası binding ile gönderimi test edin; doğrulanmış alıcı listesi denetlendi.| Реальная тестовая отправка выполняется после deploy через binding; TRIGRIX проверил allowlist подтверждённых получателей.
 — copy| — Kopie| — copie| — copia| — cópia| — copia| — kopie| — kopia| — kopya| — копия
<h2>Channels & integrations</h2><p>Connections reference ENV/secret names. Enter token values in Main settings; they are not saved in the project.</p>|<h2>Kanäle und Integrationen</h2><p>Verbindungen verwenden ENV-/Geheimnisnamen. Tokenwerte in den Haupteinstellungen eingeben; sie werden nicht im Projekt gespeichert.</p>|<h2>Canaux et intégrations</h2><p>Les connexions utilisent les noms ENV/secrets. Saisissez les jetons dans les paramètres principaux ; ils ne sont pas enregistrés dans le projet.</p>|<h2>Canales e integraciones</h2><p>Las conexiones usan nombres ENV/secretos. Introduzca los tokens en Ajustes principales; no se guardan en el proyecto.</p>|<h2>Canais e integrações</h2><p>As conexões usam nomes ENV/segredos. Insira tokens nas configurações principais; não são salvos no projeto.</p>|<h2>Canali e integrazioni</h2><p>Le connessioni usano nomi ENV/segreti. Inserisci i token nelle impostazioni principali; non vengono salvati nel progetto.</p>|<h2>Kanalen en integraties</h2><p>Verbindingen gebruiken ENV-/geheimnamen. Voer tokens in bij de hoofdinstellingen; ze worden niet in het project opgeslagen.</p>|<h2>Kanały i integracje</h2><p>Połączenia używają nazw ENV/sekretów. Wpisz tokeny w ustawieniach głównych; nie są zapisywane w projekcie.</p>|<h2>Kanallar ve entegrasyonlar</h2><p>Bağlantılar ENV/gizli değer adlarını kullanır. Tokenleri Ana ayarlar bölümüne girin; projede saklanmazlar.</p>|<h2>Каналы и интеграции</h2><p>Подключения используют только имена ENV/secrets. Значения токенов задаются в «Основных параметрах» и не сохраняются в проекте.</p>
<h2>Export standalone bot</h2><p>Select enabled channels below. Each platform ZIP contains one shared runtime that routes all selected channels by webhook path.</p>|<h2>Eigenständigen Bot exportieren</h2><p>Aktivierte Kanäle auswählen. Jedes Plattform-ZIP enthält eine gemeinsame Laufzeit, die gewählte Kanäle über Webhook-Pfade zuordnet.</p>|<h2>Exporter un bot autonome</h2><p>Sélectionnez les canaux activés. Chaque ZIP de plateforme contient un runtime commun qui route les canaux par chemin webhook.</p>|<h2>Exportar bot autónomo</h2><p>Seleccione canales activados. Cada ZIP de plataforma contiene un entorno común que enruta los canales por ruta webhook.</p>|<h2>Exportar bot autônomo</h2><p>Selecione canais ativados. Cada ZIP de plataforma contém um runtime comum que roteia os canais pelo caminho webhook.</p>|<h2>Esporta bot autonomo</h2><p>Seleziona i canali attivi. Ogni ZIP di piattaforma contiene un runtime condiviso che instrada i canali tramite percorso webhook.</p>|<h2>Zelfstandige bot exporteren</h2><p>Selecteer ingeschakelde kanalen. Elke platform-ZIP bevat één gedeelde runtime die kanalen via hun webhookpad routeert.</p>|<h2>Eksportuj samodzielnego bota</h2><p>Wybierz włączone kanały. Każdy ZIP platformy zawiera wspólne środowisko obsługujące kanały według ścieżek webhook.</p>|<h2>Bağımsız botu dışa aktar</h2><p>Etkin kanalları seçin. Her platform ZIP dosyası, kanalları webhook yoluna göre yönlendiren ortak çalışma kodunu içerir.</p>|<h2>Экспорт автономного бота</h2><p>Один экспорт содержит единый runtime для всех выбранных каналов. Выберите один или несколько ранее включённых каналов ниже. При выборе нескольких каналов Cloudflare/Docker получает общий код с маршрутизацией по webhook path; отдельные ZIP создаются только для выбранной платформы.</p>
<h2>Export standalone bot</h2><p>Select enabled channels. Cloudflare creates one ready-to-use worker.js with instructions inside; Docker creates a ZIP with the standalone application and a detailed README.</p>|<h2>Eigenständigen Bot exportieren</h2><p>Aktivierte Kanäle wählen. Cloudflare erstellt eine fertige worker.js mit eingebetteter Anleitung; Docker erstellt ein ZIP mit der eigenständigen Anwendung und ausführlicher README.</p>|<h2>Exporter un bot autonome</h2><p>Sélectionnez les canaux activés. Cloudflare crée un unique worker.js prêt à l’emploi avec les instructions intégrées ; Docker crée un ZIP avec l’application autonome et un README détaillé.</p>|<h2>Exportar bot autónomo</h2><p>Seleccione los canales activos. Cloudflare crea un único worker.js listo con instrucciones integradas; Docker crea un ZIP con la aplicación autónoma y un README detallado.</p>|<h2>Exportar bot autônomo</h2><p>Selecione os canais ativos. O Cloudflare cria um único worker.js pronto com instruções internas; o Docker cria um ZIP com o aplicativo autônomo e um README detalhado.</p>|<h2>Esporta bot autonomo</h2><p>Seleziona i canali attivi. Cloudflare crea un unico worker.js pronto con istruzioni incorporate; Docker crea uno ZIP con l’applicazione autonoma e un README dettagliato.</p>|<h2>Zelfstandige bot exporteren</h2><p>Selecteer actieve kanalen. Cloudflare maakt één kant-en-klare worker.js met ingebouwde instructies; Docker maakt een ZIP met de zelfstandige toepassing en een uitgebreide README.</p>|<h2>Eksportuj samodzielnego bota</h2><p>Wybierz aktywne kanały. Cloudflare tworzy jeden gotowy worker.js z instrukcją w pliku; Docker tworzy ZIP z samodzielną aplikacją i szczegółowym README.</p>|<h2>Bağımsız botu dışa aktar</h2><p>Etkin kanalları seçin. Cloudflare içinde talimat bulunan tek bir hazır worker.js üretir; Docker bağımsız uygulama ve ayrıntılı README içeren ZIP üretir.</p>|<h2>Экспорт автономного бота</h2><p>Выберите включённые каналы. Cloudflare создаёт один готовый worker.js с инструкцией внутри файла; Docker создаёт ZIP с автономным приложением и подробным README.</p>
<h2>Main settings</h2><p>Project and runtime settings. Secrets stay in session memory and are excluded from project files and ZIP archives.</p>|<h2>Haupteinstellungen</h2><p>Projekt- und Laufzeiteinstellungen. Geheimnisse bleiben im Sitzungsspeicher und gelangen nicht in Projektdateien oder ZIP-Archive.</p>|<h2>Paramètres principaux</h2><p>Paramètres du projet et d’exécution. Les secrets restent en mémoire de session et sont exclus des fichiers projet et ZIP.</p>|<h2>Ajustes principales</h2><p>Ajustes del proyecto y ejecución. Los secretos permanecen en la memoria de sesión y no se incluyen en archivos de proyecto ni ZIP.</p>|<h2>Configurações principais</h2><p>Configurações do projeto e execução. Segredos ficam na memória da sessão e não entram nos arquivos de projeto ou ZIP.</p>|<h2>Impostazioni principali</h2><p>Impostazioni del progetto e di esecuzione. I segreti restano in memoria e sono esclusi dai file di progetto e ZIP.</p>|<h2>Hoofdinstellingen</h2><p>Project- en uitvoeringsinstellingen. Geheimen blijven in het sessiegeheugen en komen niet in projectbestanden of ZIP-archieven.</p>|<h2>Ustawienia główne</h2><p>Ustawienia projektu i uruchamiania. Sekrety pozostają w pamięci sesji i nie trafiają do plików projektu ani ZIP.</p>|<h2>Ana ayarlar</h2><p>Proje ve çalışma ayarları. Gizli değerler oturum belleğinde kalır; proje ve ZIP dosyalarına eklenmez.</p>|<h2>Основные параметры</h2><p>Настройки проекта и значения запуска собраны здесь. Значения secrets хранятся только в памяти этой сессии и не попадают в .tgbotproj или ZIP.</p>
A recipient is a chat, group or forum topic receiving leads. Leave Topic ID empty for ordinary chats.|Ein Empfänger ist ein Chat, eine Gruppe oder ein Forumthema für Anfragen. Topic ID für normale Chats leer lassen.|Un destinataire est une discussion, un groupe ou un sujet recevant les demandes. Laissez Topic ID vide pour une discussion ordinaire.|Un destinatario es un chat, grupo o tema que recibe solicitudes. Deje Topic ID vacío para chats normales.|Um destinatário é um chat, grupo ou tópico que recebe leads. Deixe Topic ID vazio para chats comuns.|Un destinatario è una chat, un gruppo o un argomento che riceve richieste. Lascia Topic ID vuoto per chat normali.|Een ontvanger is een chat, groep of forumonderwerp voor aanvragen. Laat Topic ID leeg voor gewone chats.|Odbiorca to czat, grupa lub temat forum otrzymujący zgłoszenia. Zostaw Topic ID pusty dla zwykłych czatów.|Alıcı, başvuruların gönderildiği sohbet, grup veya forum konusudur. Normal sohbetlerde Topic ID boş bırakılır.|Получатель — чат, группа или тема форума, куда бот отправляет заявки. Для обычного чата Topic ID оставьте пустым.
Abort|Abbrechen|Interrompre|Interrumpir|Interromper|Interrompi|Afbreken|Przerwij|Durdur|Прервать
About|Über das Programm|À propos|Acerca de|Sobre|Informazioni|Over|O programie|Hakkında|О программе
About the bot|Kurzinfo zum Bot|Présentation du bot|Acerca del bot|Sobre o bot|Informazioni sul bot|Over de bot|O bocie|Bot hakkında|Коротко о боте
About TRIGRIX Studio|Über TRIGRIX Studio|À propos de TRIGRIX Studio|Acerca de TRIGRIX Studio|Sobre o TRIGRIX Studio|Informazioni su TRIGRIX Studio|Over TRIGRIX Studio|O TRIGRIX Studio|TRIGRIX Studio Hakkında|О TRIGRIX Studio
Account ID|Konto-ID|ID du compte|ID de cuenta|ID da conta|ID account|Account-ID|ID konta|Hesap kimliği|Идентификатор аккаунта
